titles,authors,dates,abstracts,urls,keys,texts
Above the Clouds: A Berkeley View of Cloud Computing,"Michael Armbrust, Armando Fox, Rean Griffith, Anthony D. Joseph, Randy H. Katz, Andrew Konwinski, Gunho Lee, David A. Patterson, Ariel Rabkin, Matei Zaharia",2009,"personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. To copy otherwise, to republish, to post on servers or to redistribute to lists, requires prior specific permission. Acknowledgement The RAD Lab's existence is due to the generous support of the founding members Google, Microsoft, and Sun Microsystems and of the affiliate members Amazon Web Services, Cisco Systems, Facebook, Hewlett-",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.149.7163&rep=rep1&type=pdf,"['cloud computing', 'berkeley view', 'prior specific permission', 'generous support', 'sun microsystems', 'rad lab', 'first page', 'member google', 'cisco system', 'classroom use', 'full citation', 'affiliate member amazon web service', 'commercial advantage']",
The eucalyptus open-source cloud-computing system,"Daniel Nurmi, Rich Wolski, Chris Grzegorczyk, Graziano Obertelli, Sunil Soman, Lamia Youseff, Dmitrii Zagorodnov",In Proceedings of Cloud Computing and Its Applications [Online,"Cloud computing systems fundamentally provide access to large pools of data and computational resources through a variety of interfaces similar in spirit to existing grid and HPC resource management and programming systems. These types of systems offer a new programming target for scalable application developers and have gained popularity over the past few years. However, most cloud computing systems in operation today are proprietary, rely upon infrastructure that is invisible to the research community, or are not explicitly designed to be instrumented and modified by systems researchers. In this work, we present EUCALYPTUS – an opensource software framework for cloud computing that implements what is commonly referred to as Infrastructure as a Service (IaaS); systems that give users the ability to run and control entire virtual machine instances deployed across a variety physical resources. We outline the basic principles of the EUCALYPTUS design, detail important operational aspects of the system, and discuss architectural trade-offs that we have made in order to allow Eucalyptus to be portable, modular and simple to use on infrastructure commonly found within academic settings. Finally, we provide evidence that EUCALYPTUS enables users familiar with existing Grid and HPC systems to explore new cloud computing functionality while maintaining access to existing, familiar application development software and Grid middle-ware. 1",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.155.2753&rep=rep1&type=pdf,"['eucalyptus open-source cloud-computing system', 'computational resource', 'new programming target', 'basic principle', 'variety physical resource', 'scalable application developer', 'system researcher', 'new cloud', 'academic setting', 'past year', 'detail important operational aspect', 'large pool', 'grid middle-ware', 'eucalyptus design', 'discus architectural trade-off', 'hpc system', 'opensource software framework', 'hpc resource management', 'cloud computing', 'operation today', 'familiar application development software', 'entire virtual machine instance', 'research community']",
"Cloud Computing and Emerging IT Platforms: Vision, Hype, and Reality for Delivering Computing as the 5th Utility","Rajkumar Buyya, Chee Shin Yeo, Srikumar Venugopal, James Broberg, Ivona Brandic",2008,"With the significant advances in Information and Communications Technology (ICT) over the last half century, there is an increasingly perceived vision that computing will one day be the 5th utility (after water, electricity, gas, and telephony). This computing utility, like all other four existing utilities, will provide the basic level of computing service that is considered essential to meet the everyday needs of the general community. To deliver this vision, a number of computing paradigms have been proposed, of which the latest one is known as Cloud computing. Hence, in this paper, we define Cloud computing and provide the architecture for creating Clouds with market-oriented resource allocation by leveraging technologies such as Virtual Machines (VMs). We also provide insights on market-based resource management strategies that encompass both customer-driven service management and computational risk management to sustain Service Level Agreement (SLA)-oriented resource allocation. In addition, we reveal our early thoughts on interconnecting Clouds for dynamically creating global Cloud exchanges and markets. Then, we present some representative Cloud platforms, especially those developed in industries along with our current work towards realizing market-oriented resource allocation of Clouds as realized in Aneka enterprise Cloud technology. Furthermore, we highlight the difference between High Performance Computing (HPC) workload and Internet-based services workload. We also describe a meta-negotiation infrastructure to establish global Cloud",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.144.8397&rep=rep1&type=pdf,"['cloud computing', 'market-oriented resource allocation', 'virtual machine', 'global cloud', 'internet-based service workload', 'customer-driven service management', '5th utility', 'market-based resource management strategy', 'significant advance', 'communication technology', 'early thought', 'last half century', 'basic level', 'resource allocation', 'general community', 'current work towards', 'service level agreement', 'computational risk management', 'everyday need', 'representative cloud platform', 'high performance computing', 'meta-negotiation infrastructure', 'aneka enterprise cloud technology', 'global cloud exchange']",
Cloud Computing,"Prof Dr, Claudia Müller-birn",2012,Our topics today in more detail What is cloud computing- old wine in new bottles? From the first idea to the BIG business. Why and when is Cloud Computing useful?,https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.462.4311&rep=rep1&type=pdf,[],
ATTACKS ON CLOUD COMPUTING 1,"Nadra Waheed, Cloud Traceback",nan, 2. Cloud computing attacks,https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.818.2858&rep=rep1&type=pdf,[],
Cloud Computing,Nariman Mirzaei,2008,"“Cloud ” computing – a relatively recent term, defines the paths ahead in computer science world. Being built on decades of research it utilizes all recent achievements in virtualization, distributed computing, utility computing, and networking. It implies a service oriented architecture through offering softwares and platforms as services, reduced information technology overhead for the end-user, great flexibility, reduced total cost of ownership, on demand services and many other things. This paper is a brief survey based of readings on “cloud ” computing and it tries to address, related research topics, challenges Cloud computing is the next generation in computation. Maybe Clouds can save the world; possibly people can have everything they need on the cloud. Cloud computing is the next natural step in the evolution of on-demand information technology services and products. The Cloud is a metaphor for the Internet, based on how it is depicted in computer network diagrams, and is an abstraction for the",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.158.2549&rep=rep1&type=pdf,"['cloud computing', 'great flexibility', 'next generation', 'demand service', 'on-demand information technology service', 'challenge cloud computing', 'utility computing', 'recent achievement', 'many thing', 'information technology overhead', 'recent term', 'brief survey', 'next natural step', 'research topic', 'offering software', 'computer science world', 'computer network diagram', 'total cost']",
Cloud Computing,"Harshit Saxena, Manoj Verma, Sanika Mishra, Divya Chourasiya",nan,"Abstract — Cloud computing is an internet based network made up of large number of servers. Cloud contains the vast amount of information. And provide the variety of services to people.The benefit of Cloud computing are reducing the Data leakage,Decrease evidence acquisition time,Decrease the evidence transfer time. The underlying concept dates back to 1960 when John McCarthy opined that “Computation may someday be",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.413.4719&rep=rep1&type=pdf,"['cloud computing', 'vast amount', 'concept date', 'john mccarthy', 'large number', 'abstract cloud computing', 'evidence transfer time', 'decrease evidence acquisition time', 'data leakage']",
Cloud Computing,"Khaled M. Khan, Qutaibah Malluhi",nan,"How can cloud providers earn their customers ’ trust when a third party is processing sensitive data in a remote machine located in various countries? Emerging technologies can help address the challenges of trust in cloud computing. C loud computing provides many oppor-tunities for enterprises by offering a range of computing services. In today’s competitive environment, the service dynamism, elasticity, and choices offered by this highly scalable technology are too attractive for enterprises to ignore. These opportunities, how-ever, don’t come without challenges. Cloud computing has opened up a new fron-tier of challenges by introducing a different type",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.453.6574&rep=rep1&type=pdf,"['cloud computing', 'many oppor-tunities', 'various country', 'competitive environment', 'remote machine', 'different type', 'sensitive data', 'service dynamism', 'new fron-tier', 'third party', 'scalable technology']",
Cloud Computing,"Simon Krogh, Simon Krogh, Cloud Computing, A Social, Relations Perspective",nan,"The second half of the 20th century has been characterized by an explosive development in information technology (Maney, Hamm,  & O'Brien, 2011). Processing power, storage capacity and network bandwidth have increased exponentially, resulting in new possibilities and shifting IT paradigms. In step with technological changes, the paradigmatic pendulum has swung between increased centralization on one side and a focus on distributed computing that pushes IT power out to end users on the other. With the introduction of outsourcing and cloud computing, centralization in large data centers is again dominating the IT scene. In line with the views presented by Nicolas Carr in 2003 (Carr, 2003), it is a popular assumption that cloud computing will be the next utility (like water, electricity and gas) (Buyya, Yeo, Venugopal, Broberg,  & Brandic, 2009). However, this assumption disregards the fact that most IT production environments,  unlike water and power supply, are in a constant state of change driven by new demands from users and the desire to utilize advances in technology. Research in IT outsourcing (ITO)  has documented that social relations play a key role in successful ITO (M. C. Lacity, Khan, & Willcocks, 2009), for instance, in establishing and maintaining trust between the involved parties (Sabherwal, 1999). So far, research in cloud computing has neglected this perspective and focused entirely on aspects relating to technology,  economy, security and legal questions. While the core technologies of cloud computing (e.g. virtualization and workload balancing) are tried and tested, the consequences for IT professionals in the affected IT departments have not been studied in detail. Similar to Marston et al. (Marston, Li, Bandyopadhyay, Zhang,  & Ghalsasi, 2011), this paper points to the need for studying the social, relational and inter-organizational challenges associated with the widespread introduction of cloud computing.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.648.6461&rep=rep1&type=pdf,"['cloud computing', 'widespread introduction', 'production environment', 'new possibility', 'new demand', 'power supply', 'core technology', 'large data center', 'social relation', 'workload balancing', 'constant state', 'involved party', 'affected department', 'next utility', 'key role', 'nicolas carr', 'network bandwidth', 'legal question', 'inter-organizational challenge', 'paradigmatic pendulum', 'explosive development', 'storage capacity', 'successful ito', 'second half', 'information technology', 'popular assumption', 'technological change', '20th century']",
for Cloud Computing,"Kaushal Jani, Bimal Kumar, Harshal Shah",nan,"Abstract—Multi-tenancy, which allows a single application to emulate multiple application instances, has been proposed as a solution to this problem. By sharing one application across many tenants, multi-tenancy attempts to replace many small application instances with one or few large instances thus bringing down the overall cost of IT infrastructure. In this paper, we present importance of Multi-tenancy in cloud computing, degree of Multi-tenancy and Multi-tenancy in databases. It will helpful to understand about Multi-tenancy and its benefits in software as a service in cloud computing environment.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.674.4398&rep=rep1&type=pdf,"['cloud computing', 'large instance', 'single application', 'overall cost', 'abstract multi-tenancy', 'many small application instance', 'many tenant', 'multi-tenancy attempt', 'multiple application instance']",
